station_name,coords,latitude,longitude,names,admin1,admin2,country
"HUMBERSIDE, UK","(53.574444, -0.350833)",53.6,-0.35,Croxton,England,North Lincolnshire,GB
"JOINVILLE, BR","(-26.2166666, -48.7833333)",-26.30444,-48.84556,Joinville,Santa Catarina,Joinville,BR
"NUNN 7 NNE, CO US","(40.8066, -104.7552)",40.58248,-104.73191,Ault,Colorado,Weld County,US
"BORDJ BADJ MOKHTAR, AG","(21.3333333, 0.95)",20.20126,1.01186,Tessalit,Kidal,,ML
"LUANDA 4 DE FEVEREIRO, AO","(-8.858375, 13.231178)",-8.83682,13.23432,Luanda,Luanda,,AO
"VINELAND STATION RCS ONT, CA","(43.1833333, -79.4)",43.17126,-79.24267,St. Catharines,Ontario,Regional Municipality of Niagara,CA
"CORRENTINA, BR","(-13.4666666, -44.7666666)",-13.34333,-44.63667,Correntina,Bahia,Correntina,BR
"PORT ST JOHNS, SF","(-31.606027, 29.521721)",-31.62291,29.54477,Port Saint John's,Eastern Cape,OR Tambo District Municipality,ZA
"GHAZIPUR, IN","(25.4, 83.55)",25.41961,83.55786,Zamania,Uttar Pradesh,Ghazipur,IN
"GRAND MANAN SAR CS, CA","(44.7, -66.8)",44.90619,-66.98998,Eastport,Maine,Washington County,US
"GLASGOW BISHOPTON, UK","(55.9, -4.5333333)",55.90969,-4.5056,Bishopton,Scotland,Renfrewshire,GB
"ANDAMOOKA, AS","(-30.45, 137.1666666)",-30.56305,136.89546,Roxby Downs,South Australia,Roxby Downs,AU
"KHOR, IR","(33.7833333, 55.0833333)",33.77512,55.08329,Khur,Isfahan,,IR
"TARGOVISTE, RO","(44.9333333, 25.4333333)",44.92543,25.4567,Targoviste,Dambovita,Municipiul Targoviste,RO
"KAKE AIRPORT, AK US","(56.96667, -133.9)",56.8125,-132.95556,Petersburg,Alaska,Wrangell-Petersburg Census Area,US
"WOLF POINT 29 ENE, MT US","(48.3082, -105.1018)",48.79252,-105.42083,Scobey,Montana,Daniels County,US
"ASHLAND REGIONAL, KY US","(38.5545, -82.737999)",38.54841,-82.72433,Worthington,Kentucky,Greenup County,US
"ALTO PARAISO DE GOIAS, BR","(-14.1333333, -47.5166666)",-13.7975,-47.45833,Cavalcante,Goias,Cavalcante,BR
"SALZBURG, AU","(47.793304, 13.004333)",47.79941,13.04399,Salzburg,Salzburg,Salzburg Stadt,AT
"MOSHOESHOE I INTERNATIONAL, LT","(-29.462256, 27.552503)",-29.31667,27.48333,Maseru,Maseru,,LS
"PARANGIPETTAI, IN","(11.5, 79.7666666)",11.4,79.73333,Annamalainagar,Tamil Nadu,Cuddalore,IN
"KERICHO, KE","(-0.3666667, 35.35)",-0.36774,35.28314,Kericho,Kericho,,KE
"EGINDYBULAK, KZ","(49.7833333, 76.3833333)",49.69244,75.58438,Akzhal,Qaraghandy,,KZ
"SEWARD, AK US","(60.12, -149.427)",60.10426,-149.4435,Seward,Alaska,Kenai Peninsula Borough,US
"BANKURA, IN","(23.3833333, 87.0833333)",23.32052,87.22081,Beliator,West Bengal,Bankura,IN
"BREMEN, GM","(53.0475, 8.786667)",53.07516,8.80777,Bremen,Bremen,,DE
"ORIBI AIRPORT, SF","(-29.65, 30.4)",-29.61679,30.39278,Pietermaritzburg,KwaZulu-Natal,uMgungundlovu District Municipality,ZA
"LAKSFORS, NO","(65.6166666, 13.2833333)",65.53335,13.40631,Trofors,Nordland,Grane,NO
"AMBERIEU, FR","(45.987335, 5.328445)",45.97359,5.30673,Chateau-Gaillard,Rhone-Alpes,Departement de l'Ain,FR
"RIO PARDO DE MINAS, BR","(-15.7166666, -42.4333333)",-15.60972,-42.53972,Rio Pardo de Minas,Minas Gerais,Rio Pardo De Minas,BR
"SARPSBORG, NO","(59.2833333, 11.1166666)",59.28391,11.10962,Sarpsborg,Ostfold,Sarpsborg,NO
"KOKEMAKI TULKKILA, FI","(61.25, 22.35)",61.25647,22.35643,Kokemaeki,Satakunta,Pori,FI
"AVALON, AS","(-38.039444, 144.469444)",-38.02388,144.40617,Lara,Victoria,Greater Geelong,AU
"MOUNTAIN VILLAGE AIRPORT, AK US","(62.09528, -163.68194)",60.79222,-161.75583,Bethel,Alaska,Bethel Census Area,US
"MAJAVATN V, NO","(65.1666666, 13.3666666)",64.92886,13.15954,Namsskogan,Nord-Trondelag,Namsskogan,NO
"CHINHOYI, ZI","(-17.3666666, 30.2)",-17.36667,30.2,Chinhoyi,Mashonaland West,,ZW
"BHAIRAHAWA, NP","(27.505703, 83.41625)",27.5,83.45,Bhairahawa,Western Region,Lumbini Zone,NP
"IBADAN, NI","(7.362458, 3.978333)",7.3772,4.04975,Egbeda,Oyo,,NG
"AVIGNON, FR","(43.9, 4.9)",43.87736,4.90248,Noves,Provence-Alpes-Cote d'Azur,Departement des Bouches-du-Rhone,FR
"SORRISO, BR","(-12.55, -55.7166666)",-11.86417,-55.5025,Sinop,Mato Grosso,Sinop,BR
"SESHEKE, ZA","(-17.4666667, 24.3)",-17.47593,24.29684,Sesheke,Western,,ZM
"PATUAKHALI, BG","(22.3333333, 90.3333333)",22.63696,90.27195,Nalchiti,Barisal,,BD
"BOB ALLEN, FL US","(25.027, -80.681)",24.9243,-80.62784,Islamorada,Florida,Monroe County,US
"BARRA DO TURVO, BR","(-24.9666666, -48.4166666)",-24.73611,-48.12278,Cajati,Sao Paulo,Cajati,BR
"INGOLSTADT MANCHING, GM","(48.715667, 11.534)",48.71656,11.49393,Manching,Bavaria,Upper Bavaria,DE
"BEALE AFB, CA US","(39.13333, -121.43333)",39.10917,-121.35444,Beale Air Force Base,California,Yuba County,US
"SUNGSHAN, TW","(25.069444, 121.551667)",25.04776,121.53185,Taipei,Taipei,,TW
"SANTA YNEZ AIRPORT, CA US","(34.60694, -120.07556)",34.61443,-120.07987,Santa Ynez,California,Santa Barbara County,US
"NIKOS KAZANTZAKIS, GR","(35.339719, 25.180297)",35.33977,25.15895,Nea Alikarnassos,Crete,Nomos Irakleiou,GR
"SIBANOR, GA","(13.2166666, -16.2)",13.20583,-16.30556,Somita,Western,,GM
"KIROV, RS","(58.5666666, 49.5666666)",58.59665,49.66007,Kirov,Kirov,Kirovo-Chepetskiy Rayon,RU
"BAMENDA, CM","(6.039239, 10.122639)",5.9597,10.14597,Bamenda,North-West Province,,CM
"KRESTCY, RS","(58.2666666, 32.5333333)",58.2452,32.51647,Kresttsy,Novgorod,,RU
"TOKYO HELIPORT, JA","(35.6333333, 139.85)",35.67056,139.88861,Urayasu,Tokyo,,JP
"VESELAJA GORKA, RS","(52.2833333, 135.8)",51.66897,135.66584,Berezovyy,Khabarovsk Krai,,RU
"DIMITROVGRAD, RS","(54.2333333, 49.6)",54.21386,49.61838,Dimitrovgrad,Ulyanovsk,,RU
"FOZ DO IGUACU, BR","(-25.6, -54.4833333)",-25.59912,-54.57355,Puerto Iguazu,Misiones,Departamento de Iguazu,AR
"UDGIR, IN","(18.0666666, 77.1166666)",18.04348,77.206,Bhalki,Karnataka,Bidar,IN
"TENERIFE GUIMAR, SP","(28.3183333, -16.3822222)",28.3548,-16.37268,Candelaria,Canary Islands,Provincia de Santa Cruz de Tenerife,ES
"FENGNING, CH","(41.2, 116.6333333)",41.19889,116.64417,Dage,Hebei,,CN
"SKILLINGE, SW","(55.4833333, 14.3166666)",55.55653,14.35037,Simrishamn,Skane,Simrishamns Kommun,SE
"A12 CPP HELIPAD OIL PLATFORM, NL","(55.4166666, 3.8166666)",53.29703,5.07431,Oost-Vlieland,Friesland,Gemeente Vlieland,NL
"GORGAN, IR","(36.909381, 54.401339)",36.84165,54.44361,Gorgan,Golestan,,IR
"PENRITH, AS","(-33.7166666, 150.6833333)",-33.75,150.7,Penrith,New South Wales,Penrith Municipality,AU
"SAN ANGELO MATHIS FIELD AIRPORT, TX US","(31.35172, -100.4948)",31.46377,-100.43704,San Angelo,Texas,Tom Green County,US
"YORO, HO","(15.1666667, -87.1166667)",15.1375,-87.12778,Yoro,Yoro,,HN
"ST CHRISTOPHE, FR","(44.946667, 6.188333)",45.0116,6.12548,Les Deux Alpes,Rhone-Alpes,Departement de l'Isere,FR
"VILHENA, BR","(-12.7333333, -60.15)",-12.74056,-60.14583,Vilhena,Rondonia,Vilhena,BR
"KITALE, KE","(0.971989, 34.958556)",1.01572,35.00622,Kitale,Trans Nzoia,,KE
"LIUZHOU, CH","(24.35, 109.4)",24.31258,109.38916,Liuzhou,Guangxi Zhuangzu Zizhiqu,,CN
"GHOR SAFI, JO","(31.0333333, 35.4666666)",31.03608,35.46544,Safi,Karak,,JO
"COONABARABRAN NAMOI STREET, AS","(-31.2666666, 149.2666666)",-31.27734,149.27904,Coonabarabran,New South Wales,Warrumbungle Shire,AU
"UTTARKASHI, IN","(30.7333333, 78.45)",30.72986,78.44342,Uttarkashi,Uttarakhand,Uttarkashi,IN
"VICTORVILLE SOUTHERN CALIFORNIA INTERNATIONAL AIRPORT, CA US","(34.58333, -117.38333)",34.58277,-117.40922,Adelanto,California,San Bernardino County,US
"TEDZHEN, TX","(37.3833333, 60.5166666)",37.38338,60.50545,Tejen,Ahal,,TM
"ROTE BAA LEKUNIK, ID","(-10.7333333, 123.0666667)",-10.7298,123.0664,Oelunggu Satu,East Nusa Tenggara,,ID
"PLAINE DES JARRES XIENGKHOUANG, LA","(19.4666666, 103.1333333)",19.45907,103.17999,Phonsavan,Xiangkhoang,,LA
"NEL KAN, RS","(57.65, 136.15)",56.46314,138.17777,Ayan,Khabarovsk Krai,,RU
"KARAGANDA, KZ","(49.670833, 73.334444)",49.65,73.51667,Koktal,Qaraghandy,,KZ
"FENGNIN, TW","(22.754986, 121.101681)",22.7583,121.1444,Taitung City,Taiwan,,TW
"SCOTTSBORO 2 NE, AL US","(34.6941, -85.9998)",34.67231,-86.03415,Scottsboro,Alabama,Jackson County,US
"SKAVSTA, SW","(58.788636, 16.912189)",58.73333,16.86667,Svalsta,Soedermanland,Nykopings Kommun,SE
"MANINGRIDA AERO, AS","(-12.05, 134.2333333)",-12.18652,136.78201,Nhulunbuy,Northern Territory,East Arnhem,AU
"PONTECAGNANO, IT","(40.6204, 14.911294)",40.63006,14.91325,Pagliarone,Campania,Provincia di Salerno,IT
"ST JOVITE QUE, CA","(46.0666666, -74.55)",46.21274,-74.58438,Mont-Tremblant,Quebec,Laurentides,CA
"MADRID RETIRO, SP","(40.4166666, -3.6833333)",40.41317,-3.68307,Retiro,Madrid,Provincia de Madrid,ES
"SATURNA CAPMON CS, CA","(48.7666666, -123.1166666)",48.98538,-123.07797,Point Roberts,Washington,Whatcom County,US
"ANAMUR, TU","(36.0833333, 32.8333333)",36.07508,32.83691,Anamur,Mersin,,TR
"IRATI, BR","(-25.4666666, -50.6333333)",-25.46722,-50.65111,Irati,Parana,Irati,BR
"NUEVO ROCAFUERTE, EC","(-0.9166666, -75.4166666)",-0.96667,-75.16667,Pantoja,Loreto,Provincia de Maynas,PE
"KUGGOREN, SW","(61.7, 17.5333333)",61.72897,17.10358,Hudiksvall,Gaevleborg,Hudiksvalls Kommun,SE
"SINES MONTES CHAOS, PO","(37.95, -8.8666666)",37.95622,-8.86979,Sines,Setubal,Sines,PT
"LAMPEDUSA, IT","(35.497914, 12.618083)",35.50142,12.60964,Lampedusa,Sicily,Agrigento,IT
"VANCE BRAND AIRPORT, CO US","(40.167, -105.167)",40.10387,-105.17082,Niwot,Colorado,Boulder County,US
"HULETT MUNICIPAL AIRPORT, WY US","(44.66286, -104.56783)",44.40637,-104.37578,Sundance,Wyoming,Crook County,US
"DELSBO, SW","(61.8333333, 16.55)",61.80104,16.55571,Delsbo,Gaevleborg,Hudiksvalls Kommun,SE
"WINCHESTER REGIONAL AIRPORT, VA US","(39.14333, -78.14444)",39.18566,-78.16333,Winchester,Virginia,City of Winchester,US
"MASVINGO INTERNATIONAL, ZI","(-20.055333, 30.859111)",-20.06373,30.82766,Masvingo,Masvingo,,ZW
"PANJGUR, PK","(26.954547, 64.132517)",26.96446,64.09028,Panjgur,Balochistan,,PK
"MOUNT HOTHAM AIRPORT, AS","(-37.05, 147.3333333)",-36.73628,147.17531,Mount Beauty,Victoria,Alpine,AU
"ENFIDHA, TS","(36.0833333, 10.4333333)",36.03027,10.50904,Harqalah,Susah,,TN
"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US","(43.1083, -78.93818)",43.13672,-78.88476,Sanborn,New York,Niagara County,US
"TIRUCHIRAPPALLI, IN","(10.765364, 78.709722)",10.8155,78.69651,Tiruchirappalli,Tamil Nadu,Tiruchchirappalli,IN
"TARCOOLA, AS","(-30.7166666, 134.5833333)",-32.1266,133.67271,Ceduna,South Australia,Ceduna,AU
"ACAPULCO GRO, MX","(16.75, -99.75)",16.82917,-99.74083,10 de Abril,Guerrero,Acapulco de Juarez,MX
"TERNOPIL, UP","(49.5333333, 25.6666666)",49.55589,25.60556,Ternopil',Ternopil,,UA
"BATSFJORD, NO","(70.600256, 29.692678)",70.62924,29.69479,Batsfjord,Finnmark Fylke,Batsfjord,NO
"TWIN CO AIRPORT, VA US","(36.76611, -80.82333)",36.72235,-80.82285,Woodlawn,Virginia,Carroll County,US
"CANNUR, IN","(11.8333333, 75.3333333)",11.86752,75.35763,Cannanore,Kerala,Kannur,IN
"MONTROSE 11 ENE, CO US","(38.544, -107.6928)",38.47832,-107.87617,Montrose,Colorado,Montrose County,US
"RUZYNE, EZ","(50.100833, 14.26)",50.08158,14.25856,Hostivice,Central Bohemia,,CZ
"HOONAH SEAPLANE BASE, AK US","(58.09619, -135.40875)",58.30194,-134.41972,Juneau,Alaska,Juneau City and Borough,US
"MUIR ARMY AIR FIELD, PA US","(40.43333, -76.56667)",40.4137,-76.4783,Jonestown,Pennsylvania,Lebanon County,US
"BAERNKOPF, AU","(48.3833333, 15.0)",48.4,15,Barnkopf,Lower Austria,Politischer Bezirk Zwettl,AT
"PORT ISABEL, TX US","(26.05, -97.22)",26.07341,-97.20858,Port Isabel,Texas,Cameron County,US
"SI SAKET AGROMET, TH","(15.0852778, 104.3305556)",15.11481,104.32938,Si Sa Ket,Sisaket,,TH
"DINOSAUR 2 E, CO US","(40.2446, -108.9677)",40.08748,-108.80483,Rangely,Colorado,Rio Blanco County,US
"SAITTAROVA, SW","(67.3333333, 22.2333333)",67.21284,23.36607,Pajala,Norrbotten,Pajala Kommun,SE
"HARRY MWAANGA NKUMBULA INTERNATIONAL, ZA","(-17.8, 25.8166666)",-17.84194,25.85425,Livingstone,Southern,,ZM
"BURWASH, CA","(61.371111, -139.040556)",60.75216,-137.51082,Haines Junction,Yukon,,CA
"LIMON INTERNATIONAL, CS","(9.957961, -83.022006)",9.99074,-83.03596,Limon,Limon,,CR
"RAZNAVOLOK, RS","(64.5666666, 34.9166666)",64.52322,34.7668,Belomorsk,Republic of Karelia,,RU
"INCIRLIK, TU","(37.0021, 35.425894)",36.97439,35.35916,Yuregir,Adana,,TR
"BURDUR, TU","(37.6666666, 30.3333333)",37.72028,30.29083,Burdur,Burdur,,TR
"FOLLINGE, SW","(63.6833333, 14.6)",63.32589,14.44883,Krokom,Jaemtland,Krokoms Kommun,SE
"CHEYENNE MOUNTAIN AS, CO US","(38.75, -104.85)",38.73749,-104.78886,Fort Carson,Colorado,El Paso County,US
"DERNA, LY","(32.7833333, 22.5833333)",32.76704,22.63669,Darnah,Darnah,,LY
"ANDRAVIDA, GR","(37.920708, 21.292583)",37.90588,21.26936,Andravida,West Greece,Nomos Ileias,GR
"LA FRIA, VE","(8.239167, -72.271028)",8.21523,-72.24888,La Fria,Tachira,Municipio Garcia de Hevia,VE
"CISA PASS, IT","(44.4333333, 9.9333333)",44.37515,9.87888,Pontremoli,Tuscany,Provincia di Massa-Carrara,IT
"URA TYUBE, TI","(39.9, 68.9833333)",39.9142,69.00328,Istaravshan,Viloyati Sughd,,TJ
"PORTO MURTINHO, BR","(-21.7, -57.55)",-21.69889,-57.8825,Porto Murtinho,Mato Grosso do Sul,Porto Murtinho,BR
"SARYOZEK, KZ","(44.367, 77.9)",44.36121,77.97644,Saryozek,Almaty Oblysy,,KZ
"REUTTE AUTOM., AU","(47.5, 10.7333333)",47.48333,10.73333,Breitenwang,Tyrol,Politischer Bezirk Reutte,AT
"UGLIC, RS","(57.5, 38.3)",57.5275,38.33167,Uglich,Jaroslavl,,RU
"BRAVO VELVA, ND US","(47.908973, -100.926748)",48.05612,-100.92932,Velva,North Dakota,McHenry County,US
"SEADRIFT, TX US","(28.4, -96.7166666)",28.41528,-96.71359,Seadrift,Texas,Calhoun County,US
"PARDOO STATION, AS","(-20.1, 119.5833333)",-20.31215,118.61059,Port Hedland,Western Australia,Port Hedland,AU
"JARKOVO, RS","(57.4166666, 67.0833333)",57.40386,67.0639,Yarkovo,Tjumen,,RU
"RICHMOND, AS","(-33.600556, 150.780833)",-33.61808,150.80443,South Windsor,New South Wales,Hawkesbury,AU
"BROWSE ISLAND AWS, AS","(-14.1166666, 123.5333333)",-17.30295,123.62864,Derby,Western Australia,Derby-West Kimberley,AU
"DONGFANG, CH","(19.1, 108.6166666)",19.0939,108.65456,Basuo,Hainan,,CN
"MANDALAY, BM","(21.9833333, 96.1)",21.97473,96.08359,Mandalay,Mandalay,,MM
"TRACADIE NS NS, CA","(45.6, -61.6666666)",45.61685,-61.34853,Port Hawkesbury,Nova Scotia,,CA
"KARAUL, RS","(70.0833333, 83.1666666)",69.40583,86.17778,Dudinka,Krasnoyarskiy,,RU
"BROOKHAVEN LINCOLN CO AIRPORT, MS US","(31.606, -90.409)",31.57906,-90.44065,Brookhaven,Mississippi,Lincoln County,US
"ZAHEDAN INTERNATIONAL, IR","(29.476331, 60.906825)",29.4963,60.8629,Zahedan,Sistan and Baluchestan,,IR
"VACAVILLE NUT TREE AIRPORT ASOS, CA US","(38.37753, -121.95854)",38.35658,-121.98774,Vacaville,California,Solano County,US
"SANTA TEREZA, BR","(-19.9833333, -40.5833333)",-19.93556,-40.60028,Santa Teresa,Espirito Santo,Santa Teresa,BR
"AVON PARK GUNNERY RANGE, FL US","(27.65, -81.33)",27.59587,-81.50619,Avon Park,Florida,Highlands County,US
"WILKES CO AIRPORT, NC US","(36.22278, -81.09833)",36.24985,-81.11564,Hays,North Carolina,Wilkes County,US
"LANCASTER AIRPORT, TX US","(32.57917, -96.71917)",32.58902,-96.68527,Wilmer,Texas,Dallas County,US
"CAMPO GRANDE, BR","(-20.468667, -54.6725)",-20.44278,-54.64639,Campo Grande,Mato Grosso do Sul,Campo Grande,BR
"CORSICANA CAMPBELL FIELD, TX US","(32.03155, -96.39936)",32.09543,-96.46887,Corsicana,Texas,Navarro County,US
"LAMPASAS AIRPORT, TX US","(31.106, -98.196)",31.06378,-98.1817,Lampasas,Texas,Lampasas County,US
"NARSAPUR, IN","(16.4333333, 81.7)",16.4361,81.70159,Narasapur,Andhra Pradesh,East Godavari,IN
"MOUNT GELLIBRAND, AS","(-38.2333333, 143.7833333)",-38.339,143.58489,Colac,Victoria,Colac-Otway,AU
"WONTHAGGI, AS","(-38.6, 145.5833333)",-38.6,145.6,North Wonthaggi,Victoria,Bass Coast,AU
"CASTANHAL, BR","(-1.3, -47.95)",-1.29389,-47.92639,Castanhal,Para,Castanhal,BR
"DALATANGI, IC","(65.2666666, -13.5833333)",65.14819,-13.68368,Neskaupstadur,East,,IS
"SANTA MONICA PIER, CA US","(34.008, -118.5)",34.01945,-118.49119,Santa Monica,California,Los Angeles County,US
"MCCLUER ISLAND AWS, AS","(-11.05, 132.9833333)",-12.55397,131.11165,McMinns Lagoon,Northern Territory,Litchfield,AU
"FREDERICK MUNICIPAL AIRPORT, MD US","(39.41667, -77.38333)",39.41427,-77.41054,Frederick,Maryland,Frederick County,US
"KENAI AIRPORT, AK US","(60.57909, -151.24152)",60.55444,-151.25833,Kenai,Alaska,Kenai Peninsula Borough,US
"FOXTROT AUGUSTA, MT US","(47.6, -112.316666)",47.81245,-112.18363,Choteau,Montana,Teton County,US
"JAKOBSHAVN LUFTHAVN, GL","(69.233, -51.067)",69.21667,-51.1,Ilulissat,Qaasuitsup,,GL
"SAENTIS, SZ","(47.25, 9.35)",47.20148,9.35488,Wildhaus,Saint Gallen,Wahlkreis Toggenburg,CH
"SOBRAL, BR","(-3.75, -40.35)",-3.68611,-40.34972,Sobral,Ceara,Sobral,BR
"SLAVGOROD, BO","(53.45, 31.0166666)",53.4429,31.0014,Slawharad,Mogilev,,BY
"FRANCISCO BANGOY INTERNATIONAL, RP","(7.125522, 125.645778)",7.13639,125.6875,Babak,Davao,Province of Davao del Norte,PH
"FRESNO CHANDLER EXECUTIVE, CA US","(36.732364, -119.819897)",36.71023,-119.85126,West Park,California,Fresno County,US
"JEFMAN, ID","(-0.926358, 131.121194)",-0.88718,131.23644,Doom,West Papua,,ID
"ILE AUX PERROQUETS QUE, CA","(50.2166666, -64.2)",50.24342,-63.60264,Havre-Saint-Pierre,Quebec,Cote-Nord,CA
"DUGWAY PROVING GROUNDS, UT US","(40.18333, -112.93333)",40.59994,-112.4644,Grantsville,Utah,Tooele County,US
"MASIRAH, MU","(20.675434, 58.890467)",22.45,58.8,Badiyah,Ash Sharqiyah,,OM
"BAJA, HU","(46.1833333, 19.0166666)",46.17496,18.95639,Baja,Bacs-Kiskun,,HU
"TAWATINAW AGCM, CA","(54.2833333, -113.5166666)",54.15016,-113.86876,Westlock,Alberta,,CA
"HAVERI, IN","(14.7833333, 75.4)",14.79354,75.40448,Haveri,Karnataka,Haveri,IN
"CORVALLIS 10 SSW, OR US","(44.4185, -123.3257)",44.54012,-123.3676,Philomath,Oregon,Benton County,US
"EXCELSIOR, SF","(-32.95, 19.4333333)",-33.36889,19.31095,Ceres,Western Cape,Cape Winelands District Municipality,ZA
"BAIKADAM, KZ","(43.8, 69.9)",43.56667,69.75,Zhangatas,Zhambyl,,KZ
"BINGA, ZI","(-17.6166667, 27.3333333)",-17.62027,27.34139,Binga,Matabeleland North,,ZW
"HELSINKI VANTAA, FI","(60.317222, 24.963333)",60.29414,25.04099,Vantaa,Uusimaa,Helsinki,FI
"BEGUMPET AIRPORT, IN","(17.452417, 78.461111)",17.50107,78.45818,Quthbullapur,Telangana,Rangareddi,IN
"KRASNYJ JAR, RS","(46.5333333, 135.3166666)",46.45148,135.82738,Vostok,Primorskiy,,RU
"REGGANE, AG","(26.7166666, 0.2833333)",26.71576,0.1714,Reggane,Adrar,,DZ
"POLOKWANE, SF","(-23.8666666, 29.45)",-23.90449,29.46885,Polokwane,Limpopo,Capricorn District Municipality,ZA
"GELANTIPY, AS","(-37.2166666, 148.2666666)",-37.88115,147.98103,Lakes Entrance,Victoria,East Gippsland,AU
"BOCA RATON AIRPORT, FL US","(26.37833, -80.1075)",26.35869,-80.0831,Boca Raton,Florida,Palm Beach County,US
"KASBA TADLA, MO","(32.5333333, -6.2833333)",32.5977,-6.26844,Kasba Tadla,Tadla-Azilal,Beni-Mellal,MA
"KLAIPEDA, LH","(55.7333333, 21.0833333)",55.71722,21.1175,Klaipeda,Klaipedos apskritis,Klaipeda,LT
"TILRIKOJA, EN","(58.8666666, 26.95)",58.84861,26.93972,Mustvee,Jogevamaa,Mustvee linn,EE
"VISBY SOL, SW","(57.6666666, 18.35)",57.64089,18.29602,Visby,Gotland,Gotland,SE
"BARRETOS, BR","(-20.5666666, -48.55)",-20.55722,-48.56778,Barretos,Sao Paulo,Barretos,BR
"CLARKSVILLE OUTLAW AIRPORT, TN US","(36.61689, -87.41174)",36.66505,-87.44279,Oak Grove,Kentucky,Christian County,US
"PALMEIRA DOS INDIOS, BR","(-9.4166666, -36.6166666)",-9.53694,-36.63361,Igaci,Alagoas,Igaci,BR
"TANJUNG SELOR, ID","(2.85, 117.3333333)",2.82988,117.34255,Tanjung Palas,North Kalimantan,,ID
"STEPHENVILLE CLARK FIELD, TX US","(32.21528, -98.1775)",32.2207,-98.20226,Stephenville,Texas,Erath County,US
"ROSTOV, RS","(57.2, 39.4166666)",57.1914,39.41394,Rostov,Jaroslavl,,RU
"KUMAMOTO, JA","(32.8166666, 130.7)",32.80589,130.69181,Kumamoto,Kumamoto,,JP
"RIO COLORADO, AR","(-39.0166667, -64.0833333)",-38.99397,-64.09295,Rio Colorado,Rio Negro,,AR
"CASTELO BRANCO, PO","(39.8333333, -7.4833333)",39.82219,-7.49087,Castelo Branco,Castelo Branco,Castelo Branco,PT
"JHARSUGUDA, IN","(21.913536, 84.050383)",21.86159,84.01788,Jharsuguda,Odisha,Jharsuguda,IN
"NOWA DEBA, PL","(50.4333333, 21.7666666)",50.42974,21.75078,Nowa Deba,Subcarpathian Voivodeship,Powiat tarnobrzeski,PL
"MEMPHIS NAS, TN US","(35.35, -89.86667)",35.34147,-89.89731,Millington,Tennessee,Shelby County,US
"JINOTEGA, NU","(13.0833333, -85.9833333)",13.10042,-86.00226,Jinotega,Jinotega,,NI
"FUKUSHIMA, JA","(37.7666666, 140.4666666)",37.75,140.46778,Fukushima-shi,Fukushima,,JP
"ANGLETON LAKE JACKSON BRAZORIA CO AIRPORT, TX US","(29.11536, -95.46323)",29.16941,-95.43188,Angleton,Texas,Brazoria County,US
"ROROS, NO","(62.578411, 11.342347)",62.57468,11.3842,Roros,Sor-Trondelag,Roros,NO
"SAO LOURENCO, BR","(-22.1, -45.0166666)",-22.11639,-45.05444,Sao Lourenco,Minas Gerais,Sao Lourenco,BR
"MARCUS HOOK, PA US","(39.8166666, -75.4166666)",39.81928,-75.41853,Marcus Hook,Pennsylvania,Delaware County,US
"MERAKER EGGE, NO","(63.4166666, 11.7333333)",63.41406,11.74298,Meraker,Nord-Trondelag,Meraker,NO
"SAGA, JA","(33.2666666, 130.3)",33.24932,130.2988,Saga-shi,Saga Prefecture,,JP
"LODWAR, KE","(3.121967, 35.608692)",3.11911,35.59727,Lodwar,Turkana,,KE
"GILLESPIE FIELD AIRPORT, CA US","(32.82611, -116.9725)",32.83838,-116.97392,Santee,California,San Diego County,US
"LAMEZIA TERME, IT","(38.905394, 16.242269)",38.91982,16.25221,Santa Eufemia Lamezia,Calabria,Provincia di Catanzaro,IT
"NAGYKANIZSA, HU","(46.45, 16.9666666)",46.45347,16.99104,Nagykanizsa,Zala,,HU
"ELLIOTT, AS","(-17.55, 133.5333333)",-19.6497,134.19147,Tennant Creek,Northern Territory,Barkly,AU
"WARTON, UK","(53.745097, -2.883061)",53.74988,-2.89335,Warton,England,Lancashire,GB
"TATEYAMA, JA","(34.9833333, 139.8666666)",34.98333,139.86667,Tateyama,Chiba,,JP
"RED ROCKS POINT, AS","(-32.2, 127.5333333)",-33.86013,121.88259,Esperance,Western Australia,Esperance Shire,AU
"CODAJAS, BR","(-3.8333333, -62.0833333)",-3.83667,-62.05694,Codajas,Amazonas,Codajas,BR
"TARAMA, JA","(24.653889, 124.675278)",24.34478,124.15717,Ishigaki,Okinawa,,JP
"MOHABAD, IR","(36.7666666, 45.7166666)",36.7631,45.7222,Mahabad,Azarbayjan-e Gharbi,,IR
"KANTON ISLAND, KR","(-2.7666666, -171.7166666)",-8.54212,-172.51591,Atafu Village,Atafu,,TK
"BUFFALO ASOS, SD US","(45.604294, -103.546996)",45.58416,-103.54603,Buffalo,South Dakota,Harding County,US
"KHON KAEN, TH","(16.466628, 102.783661)",16.44671,102.833,Khon Kaen,Khon Kaen,,TH
"LINDONG, CH","(43.9833333, 119.4)",43.98333,119.18333,Lindong,Inner Mongolia,,CN
"WEISSFLUHJOCH, SZ","(46.8333333, 9.8166666)",46.80429,9.83723,Davos,Grisons,Praettigau/Davos District,CH
"TOMALON, EC","(0.033, -78.233)",0.04084,-78.14524,Cayambe,Pichincha,,EC
"KABINBURI, TH","(13.9833333, 101.7)",13.95114,101.71769,Kabin Buri,Prachin Buri,,TH
